,지역코드,법정동,년,월,일,아파트,건축년도,층,전용면적,거래금액
1,11140, 회현동1가,2015,8,1~10,삼풍,1975,9,68.96,"    28,750"
2,11140, 회현동1가,2015,8,1~10,남산 롯데캐슬 아이리스,2011,24,33.81,"    46,000"
3,11140, 회현동1가,2015,8,11~20,남산 롯데캐슬 아이리스,2011,26,33.81,"    45,000"
4,11140, 회현동1가,2015,8,11~20,남산 롯데캐슬 아이리스,2011,18,113.46,"    98,000"
5,11140, 회현동1가,2015,8,21~31,남산 롯데캐슬 아이리스,2011,12,40.9,"    51,000"
6,11140, 회현동2가,2015,8,11~20,쌍용남산플래티넘,2010,11,139.8,"   109,000"
7,11140, 충무로4가,2015,8,21~31,남산센트럴 자이,2009,20,82.413,"    61,750"
8,11140, 충무로4가,2015,8,21~31,진양상가,1970,8,95.8,"    39,000"
9,11140, 인현동2가,2015,8,21~31,신성상가,1968,9,40.83,"    15,950"
0,11140, 회현동1가,2015,9,1~10,삼풍,1975,6,72.06,"    30,500"
1,11140, 회현동1가,2015,9,1~10,남산 롯데캐슬 아이리스,2011,24,113.46,"    98,000"
2,11140, 회현동1가,2015,9,11~20,남산 롯데캐슬 아이리스,2011,13,187.44,"   143,000"
3,11140, 회현동1가,2015,9,11~20,남산 롯데캐슬 아이리스,2011,26,133.98,"   127,000"
4,11140, 회현동1가,2015,9,21~30,삼풍,1975,5,98.53,"    40,000"
5,11140, 충무로4가,2015,9,11~20,진양상가,1970,10,71.93,"    30,500"
6,11140, 충무로4가,2015,9,21~30,진양상가,1970,8,71.93,"    30,000"
7,11140, 충무로4가,2015,9,21~30,남산센트럴 자이,2009,13,89.307,"    65,000"
8,11140, 묵정동,2015,9,1~10,묵정,1981,6,52.46,"    22,000"
9,11140, 묵정동,2015,9,21~30,충무,1982,6,67.77,"    34,000"
0,11140, 회현동1가,2015,10,1~10,남산 SK LEADERS VIEW,2010,9,145.79,"   121,000"
1,11140, 회현동1가,2015,10,21~31,남산 롯데캐슬 아이리스,2011,6,40.9,"    50,000"
2,11140, 회현동1가,2015,10,21~31,남산 롯데캐슬 아이리스,2011,5,113.46,"    96,000"
3,11140, 회현동1가,2015,10,21~31,남산 롯데캐슬 아이리스,2011,14,133.98,"   122,000"
4,11140, 충무로4가,2015,10,1~10,진양상가,1970,7,107.9,"    41,000"
5,11140, 충무로4가,2015,10,1~10,진양상가,1970,6,107.9,"    41,000"
6,11140, 충무로4가,2015,10,1~10,진양상가,1970,5,71.93,"    30,000"
7,11140, 충무로4가,2015,10,21~31,진양상가,1970,5,71.93,"    31,000"
8,11140, 충무로4가,2015,10,21~31,진양상가,1970,10,71.93,"    29,000"
9,11140, 묵정동,2015,10,1~10,묵정,1981,7,52.46,"    25,350"
0,11140, 회현동1가,2015,11,1~10,남산 롯데캐슬 아이리스,2011,7,44.99,"    54,000"
1,11140, 회현동1가,2015,11,1~10,남산 SK LEADERS VIEW,2010,25,115.04,"    95,000"
2,11140, 회현동1가,2015,11,1~10,삼풍,1975,7,72.06,"    28,000"
3,11140, 회현동1가,2015,11,11~20,남산 롯데캐슬 아이리스,2011,18,103.49,"    91,000"
4,11140, 회현동1가,2015,11,11~20,남산 SK LEADERS VIEW,2010,11,176.26,"   135,000"
5,11140, 남산동2가,2015,11,1~10,남산퍼시픽,2003,4,75.69,"    48,000"
6,11140, 충무로4가,2015,11,11~20,진양상가,1970,15,107.9,"    35,000"
7,11140, 충무로4가,2015,11,11~20,남산센트럴 자이,2009,9,80.473,"    58,000"
8,11140, 산림동,2015,11,1~10,청계상가,1971,5,83.64,"    30,000"
9,11140, 신당동,2015,11,1~10,탑힐,2002,3,54.75,"    31,000"
0,11140, 충무로4가,2015,12,11~20,진양상가,1970,6,71.93,"    28,800"
1,11140, 장충동1가,2015,12,21~31,장충레지던스,1993,3,155.88,"    70,000"
2,11140, 신당동,2015,12,1~10,남산타운,2002,16,84.88,"    65,000"
3,11140, 신당동,2015,12,1~10,신당푸르지오,2005,10,145.1,"    77,000"
4,11140, 신당동,2015,12,1~10,남산타운,2002,16,114.88,"    76,000"
5,11140, 신당동,2015,12,1~10,기린,2004,2,80.42,"    43,000"
6,11140, 신당동,2015,12,1~10,청구e편한세상,2011,11,147.89,"   105,500"
7,11140, 신당동,2015,12,1~10,래미안하이베르,2011,4,59.74,"    48,500"
8,11140, 신당동,2015,12,1~10,청구e편한세상,2011,5,84.95,"    71,800"
9,11140, 신당동,2015,12,1~10,청구e편한세상,2011,4,118.47,"    86,000"
0,11140, 회현동1가,2016,1,21~31,삼풍,1975,4,68.95,"    29,600"
1,11140, 회현동1가,2016,1,21~31,남산 롯데캐슬 아이리스,2011,13,113.46,"    87,500"
2,11140, 회현동1가,2016,1,21~31,남산 SK LEADERS VIEW,2010,25,115.04,"    96,000"
3,11140, 남산동2가,2016,1,21~31,남산퍼시픽,2003,3,62.64,"    43,000"
4,11140, 예장동,2016,1,1~10,삼익,1999,2,59.99,"    28,000"
5,11140, 신당동,2016,1,1~10,약수하이츠,1999,13,65.37,"    49,500"
6,11140, 신당동,2016,1,1~10,약수하이츠,1999,7,114.92,"    67,500"
7,11140, 신당동,2016,1,1~10,삼성홈타운,2004,5,104.98,"    51,000"
8,11140, 신당동,2016,1,1~10,약수하이츠,1999,9,84.88,"    54,000"
9,11140, 신당동,2016,1,1~10,약수하이츠,1999,13,65.37,"    45,000"
0,11140, 회현동1가,2016,2,21~29,남산 SK LEADERS VIEW,2010,14,176.26,"   145,000"
1,11140, 충무로4가,2016,2,11~20,진양상가,1970,12,71.93,"    29,000"
2,11140, 충무로4가,2016,2,21~29,진양상가,1970,10,71.93,"    30,700"
